epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.812,1.20273,4.36059,1.17471,0.00247,0.65,0.02149,0.01223,1.23223,3.50247,1.18235,5.712e-05,5.712e-05,5.712e-05
2,4.78783,0.94123,4.1479,1.05012,0.00393,0.88,0.1295,0.09752,0.76091,3.48733,0.99519,0.000118977,0.000118977,0.000118977
3,6.65434,0.81101,3.6057,1.05301,0.00544,0.925,0.21773,0.18468,0.6758,3.41581,0.95867,0.000178289,0.000178289,0.000178289
4,8.62718,0.74361,2.97715,0.98947,0.00679,0.975,0.30677,0.248,0.70651,3.22905,0.95056,0.000235056,0.000235056,0.000235056
5,10.7413,0.76391,2.77486,1.04663,0.84699,0.05,0.42601,0.35604,0.66483,2.91526,0.9324,0.000289279,0.000289279,0.000289279
6,12.8534,0.74457,2.52824,1.02697,0.00966,1,0.49442,0.4215,0.65842,2.97116,1.00568,0.000340956,0.000340956,0.000340956
7,14.7629,0.70028,2.32479,0.99285,0.00874,0.96667,0.61595,0.53525,0.66242,2.80951,0.99989,0.00039009,0.00039009,0.00039009
8,16.6179,0.61586,2.25858,0.95368,0.53599,0.38331,0.5517,0.44815,0.66252,2.73971,0.96828,0.000436678,0.000436678,0.000436678
9,18.437,0.67966,2.057,0.96877,0.00297,0.73,0.31996,0.2668,0.99159,3.58033,1.49244,0.000480722,0.000480722,0.000480722
10,20.1542,0.67868,1.99546,0.96749,0.81699,0.3,0.61298,0.52242,0.75659,2.66924,1.03364,0.000522221,0.000522221,0.000522221
11,22.0132,0.69514,1.88893,0.9706,0.54764,0.59638,0.72698,0.62679,0.67429,2.11636,0.94661,0.000561175,0.000561175,0.000561175
12,23.8538,0.71298,1.82431,0.97832,0.68709,0.66653,0.80607,0.67045,0.71288,1.55169,0.9912,0.000558491,0.000558491,0.000558491
13,25.9025,0.66192,1.86688,0.96681,0.56785,0.71256,0.79781,0.67765,0.78249,1.51957,1.01883,0.000544354,0.000544354,0.000544354
14,27.8249,0.64185,1.80247,0.96147,0.68364,0.83333,0.86449,0.73244,0.79034,1.40154,1.03982,0.000530216,0.000530216,0.000530216
15,29.8682,0.62783,1.62411,0.9244,0.8219,0.7184,0.88157,0.72404,0.77041,1.40581,1.03771,0.000516079,0.000516079,0.000516079
16,31.835,0.65792,1.66126,0.96135,0.57579,0.67578,0.78132,0.65343,0.6834,1.81678,0.97962,0.000501942,0.000501942,0.000501942
17,33.7195,0.64621,1.56402,0.93484,0.78481,0.80554,0.92233,0.82367,0.58953,1.24981,0.95043,0.000487805,0.000487805,0.000487805
18,35.6429,0.58603,1.493,0.91957,0.84414,0.81025,0.97875,0.84723,0.62152,1.11102,0.96283,0.000473668,0.000473668,0.000473668
19,37.6492,0.60871,1.44319,0.90768,0.75449,0.75734,0.88687,0.76924,0.60548,1.20311,0.93847,0.00045953,0.00045953,0.00045953
20,39.4363,0.59302,1.41281,0.92166,0.82615,0.92834,0.96242,0.8248,0.61518,1.04939,0.94989,0.000445393,0.000445393,0.000445393
21,41.223,0.58298,1.37626,0.91062,0.78814,0.87308,0.93393,0.8192,0.58158,0.95572,0.92848,0.000431256,0.000431256,0.000431256
22,43.0211,0.58184,1.42214,0.90993,0.80527,0.91056,0.95287,0.83652,0.5745,0.88512,0.92682,0.000417119,0.000417119,0.000417119
23,45.0608,0.54273,1.37592,0.91614,0.77817,0.9544,0.95633,0.83426,0.58531,0.80333,0.93411,0.000402982,0.000402982,0.000402982
24,46.9258,0.54379,1.29018,0.90781,0.93431,0.94789,0.9818,0.8741,0.55617,0.62712,0.93318,0.000388844,0.000388844,0.000388844
25,48.8538,0.55679,1.20417,0.91184,0.94426,0.93852,0.98675,0.86785,0.55688,0.60216,0.94598,0.000374707,0.000374707,0.000374707
26,50.7038,0.52703,1.23653,0.8997,0.9241,0.92805,0.995,0.86312,0.57023,0.61442,0.95211,0.00036057,0.00036057,0.00036057
27,52.7555,0.49456,1.24454,0.88787,0.88585,0.9332,0.9785,0.86456,0.57359,0.63877,0.93494,0.000346433,0.000346433,0.000346433
28,54.613,0.53006,1.23683,0.90847,0.8307,0.95503,0.95736,0.84962,0.54703,0.6519,0.93388,0.000332296,0.000332296,0.000332296
29,56.3652,0.53817,1.2601,0.93052,0.92916,0.94436,0.97951,0.87374,0.56674,0.59961,0.94637,0.000318158,0.000318158,0.000318158
30,58.2742,0.49959,1.13891,0.89272,0.91422,0.97771,0.98446,0.88639,0.54573,0.56895,0.94932,0.000304021,0.000304021,0.000304021
31,60.236,0.52065,1.17668,0.89977,0.91742,0.94868,0.98675,0.88769,0.53511,0.56082,0.93676,0.000289884,0.000289884,0.000289884
32,62.3616,0.50809,1.16997,0.88306,0.92271,0.9429,0.97732,0.88875,0.53445,0.5978,0.92344,0.000275747,0.000275747,0.000275747
33,64.1597,0.49344,1.12381,0.88378,0.94428,0.94006,0.97951,0.88411,0.5231,0.57699,0.92416,0.00026161,0.00026161,0.00026161
34,65.9414,0.47526,1.12989,0.89193,0.87434,0.96667,0.95633,0.87656,0.51088,0.56096,0.92464,0.000247472,0.000247472,0.000247472
35,67.73,0.50008,1.09184,0.89243,0.90168,0.95552,0.9708,0.88453,0.5192,0.54891,0.92392,0.000233335,0.000233335,0.000233335
36,69.5416,0.50938,1.05403,0.90696,0.92352,0.98115,0.9785,0.88074,0.52949,0.53676,0.92172,0.000219198,0.000219198,0.000219198
37,71.2284,0.44554,0.99771,0.86826,0.92228,0.95617,0.9785,0.87849,0.53071,0.54373,0.9243,0.000205061,0.000205061,0.000205061
38,73.0215,0.4809,1.06545,0.90191,0.9154,0.94763,0.98675,0.87355,0.54744,0.53188,0.92522,0.000190924,0.000190924,0.000190924
39,74.892,0.4499,1.00789,0.86892,0.92503,0.96787,0.98675,0.88545,0.54223,0.49859,0.92087,0.000176786,0.000176786,0.000176786
40,76.7401,0.45336,1.0504,0.87597,0.91701,0.97934,0.98675,0.88516,0.54503,0.48721,0.92345,0.000162649,0.000162649,0.000162649
41,121.02,0.39974,1.15993,0.83584,0.936,0.98735,0.98675,0.89589,0.54879,0.48081,0.92463,0.000148512,0.000148512,0.000148512
42,122.994,0.38873,1.18814,0.82846,0.91743,0.9866,0.98675,0.88286,0.54673,0.49287,0.92383,0.000134375,0.000134375,0.000134375
43,124.851,0.37044,1.12281,0.82349,0.95635,0.9488,0.98675,0.89549,0.53457,0.48137,0.92577,0.000120238,0.000120238,0.000120238
