epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.45396,1.20273,4.36059,1.17471,0.00247,0.65,0.02149,0.01223,1.23223,3.50247,1.18235,5.712e-05,5.712e-05,5.712e-05
2,10.9025,0.93511,4.15381,1.05118,0.00413,0.905,0.14288,0.1093,0.74298,3.47416,0.97984,0.000119778,0.000119778,0.000119778
3,12.9782,0.79113,3.58048,1.0446,0.00506,0.925,0.30726,0.27258,0.64129,3.38946,0.94357,0.000180739,0.000180739,0.000180739
4,14.965,0.71578,2.96483,0.97506,0.00605,0.95,0.35548,0.29923,0.63102,3.2363,0.92943,0.000240004,0.000240004,0.000240004
5,16.9194,0.74559,2.74234,1.03044,0.00661,0.95,0.38406,0.30771,0.61302,3.08057,0.9187,0.000297572,0.000297572,0.000297572
6,19.052,0.73619,2.57793,1.02517,0.00691,1,0.55777,0.4615,0.58217,2.93384,0.93134,0.000353444,0.000353444,0.000353444
7,21.237,0.68911,2.34346,0.98774,0.00835,1,0.60523,0.523,0.60929,2.81617,0.91589,0.00040762,0.00040762,0.00040762
8,23.4065,0.66037,2.28787,0.98834,0.83497,0.2,0.57161,0.47501,0.68477,2.58156,0.93937,0.000460099,0.000460099,0.000460099
9,25.4238,0.71369,2.06872,0.98285,0.74099,0.26974,0.61036,0.51548,0.6896,2.71493,1.00001,0.000510881,0.000510881,0.000510881
10,27.2768,0.68202,2.03987,0.9822,0.69362,0.50849,0.67902,0.59544,0.65715,2.174,0.9863,0.000559967,0.000559967,0.000559967
11,29.2696,0.69193,1.9941,0.98307,0.5499,0.72853,0.73432,0.63368,0.63897,1.81473,0.94725,0.000607357,0.000607357,0.000607357
12,31.1711,0.7314,1.89674,0.98026,0.74267,0.72116,0.8358,0.67297,0.75926,1.94705,1.01195,0.000610327,0.000610327,0.000610327
13,33.0341,0.65601,1.93019,0.97599,0.60846,0.64329,0.73973,0.62405,0.75457,2.02112,1.04087,0.000600902,0.000600902,0.000600902
14,34.8537,0.67261,1.86787,0.9778,0.71806,0.70679,0.83711,0.71281,0.67995,1.72344,0.99613,0.000591478,0.000591478,0.000591478
15,36.7252,0.62483,1.66911,0.92649,0.75689,0.69704,0.87176,0.74412,0.66695,1.73759,0.98134,0.000582053,0.000582053,0.000582053
16,38.6396,0.66936,1.70206,0.96467,0.75738,0.72521,0.8686,0.73546,0.60339,1.56587,0.96762,0.000572628,0.000572628,0.000572628
17,40.5605,0.62261,1.58991,0.91926,0.55661,0.83302,0.8681,0.74567,0.5761,1.35161,0.9542,0.000563203,0.000563203,0.000563203
18,42.5134,0.57959,1.52004,0.91187,0.64268,0.90227,0.91007,0.77878,0.61557,1.13437,0.96862,0.000553778,0.000553778,0.000553778
19,44.3659,0.61495,1.47694,0.90567,0.8137,0.88247,0.96208,0.88035,0.54861,1.08141,0.93939,0.000544354,0.000544354,0.000544354
20,46.2469,0.59606,1.43058,0.92686,0.80108,0.90308,0.96129,0.82178,0.61977,0.92513,0.97974,0.000534929,0.000534929,0.000534929
21,48.085,0.59179,1.43099,0.91785,0.83697,0.94617,0.96441,0.838,0.62066,0.81495,0.96664,0.000525504,0.000525504,0.000525504
22,49.9101,0.58683,1.46698,0.91249,0.83115,0.97034,0.97012,0.83002,0.63349,0.75406,0.98204,0.000516079,0.000516079,0.000516079
23,51.7511,0.5474,1.40109,0.91883,0.78162,1,0.9785,0.83864,0.63099,0.71509,0.96113,0.000506654,0.000506654,0.000506654
24,53.6236,0.53594,1.32684,0.90919,0.86728,0.89917,0.96208,0.83304,0.58336,0.76143,0.95328,0.00049723,0.00049723,0.00049723
25,55.4442,0.58186,1.278,0.93255,0.72921,0.86421,0.85582,0.73697,0.57312,1.09365,0.96327,0.000487805,0.000487805,0.000487805
26,57.2793,0.55882,1.31853,0.91395,0.77135,0.92398,0.92577,0.79951,0.5839,0.72428,0.95723,0.00047838,0.00047838,0.00047838
